estado,plantarse,tirar
"(6, 1100)",298.67886745944264,453.10353322591135
"(4, 1250)",169.32948875,47.7550688625
"(4, 700)",192.83021877855433,131.10199810091302
"(2, 1350)",171.08671500000003,39.01849785
"(3, 2500)",858.4951625213707,737.8009571418538
"(3, 950)",210.60627322841196,141.51568762177652
"(4, 850)",173.0443144700477,114.66954410767272
"(2, 3250)",514.8972939602866,365.2847626477616
"(4, 900)",180.46810593769194,145.49127995528858
"(1, 1950)",386.82035039886034,224.7348762281941
"(2, 750)",77.15699025077402,43.23526468948703
"(2, 1250)",208.6512000215494,110.59329218395895
"(6, 750)",260.28928487019994,371.99735558590544
"(2, 1000)",147.5016561273951,128.68952473774854
"(3, 4000)",297.4237994792203,147.61012605465774
"(2, 200)",43.972620168537475,44.101289037910966
"(2, 2200)",576.9647517000477,443.6837136234968
"(1, 1800)",401.7098389131745,244.91583974011675
"(5, 850)",135.85276726264115,68.29701543351472
"(2, 1800)",947.4917435725024,824.3355027647203
"(2, 800)",133.31698559446076,72.92877896979616
"(6, 10450)",0.0,0.0
"(4, 3200)",660.146838855377,503.77241890409124
"(2, 2100)",487.8482770710236,363.1648187541685
"(1, 3300)",32.67,5.613300000000001
"(4, 1000)",188.6034109067218,157.48002028306044
"(2, 2550)",812.5019331418433,667.5315056962833
"(6, 1600)",269.8034840839051,426.4404803736977
"(5, 1700)",170.0,0.0
"(3, 1350)",103.95135673650002,128.3836567365
"(5, 950)",117.09786016714501,66.02921601547355
"(6, 10000)",0.0,0.0
"(5, 750)",123.43514334474429,82.4188231857251
"(1, 2000)",360.7561519309278,217.0659534165435
"(3, 3250)",607.1966652832558,521.2688587968926
"(1, 2250)",395.2387738400911,293.9088401597603
"(3, 1300)",231.18482044414014,107.34015251839875
"(1, 3400)",400.894,66.09906000000001
"(3, 3500)",204.65120878179454,103.73208582103067
"(2, 1450)",158.44638094412792,135.50868056480343
"(4, 600)",168.50910303163488,122.60616141645735
"(3, 1450)",152.24855723550004,54.21623216314502
"(1, 4100)",3.7350000000000003,82.58500000000001
"(1, 1350)",168.48000673649997,54.949718169135
"(6, 2600)",69.057225,324.032225
"(4, 2750)",27.0,297.0
"(1, 3000)",30.0,2.7
"(4, 550)",66.86744412125445,30.983908652222027
"(6, 900)",493.7886109543198,621.8958012721195
"(1, 1650)",176.270985,43.39762515
"(2, 1750)",467.9916150357574,364.6612648043254
"(2, 3650)",71.90865000000001,15.016063500000003
"(1, 2050)",460.51341938002685,350.2319440319043
"(3, 2100)",417.17702343845565,306.07607106696673
"(1, 3450)",516.564273801308,243.73312419279497
"(5, 450)",83.31828768768023,42.12631957904392
"(4, 1050)",201.45019658900588,117.57335603509038
"(5, 600)",109.87106578838834,69.56382920810707
"(6, 2200)",110.94786800550003,366.20621800550003
"(3, 2450)",0.0,0.0
"(2, 1700)",257.9348551624883,103.16861134086344
"(4, 750)",174.16196510972205,106.40972399464734
"(6, 1000)",98.38606866871568,193.72480738846522
"(2, 2000)",621.0113122678844,477.78238579742595
"(5, 3050)",1015.2819090753916,814.3855302803386
"(3, 700)",155.7425230172075,118.22322717127975
"(2, 1600)",186.76944,62.3041456
"(2, 1300)",228.440810869438,134.0308483286389
"(4, 1300)",163.48878129999997,45.706823486999994
"(1, 2300)",366.35866673516045,166.4868930225088
"(2, 2800)",277.2,24.948
"(1, 3800)",149.735162,30.62401038
"(2, 1950)",540.1726190772042,422.6726049567993
"(6, 2000)",146.0300787801499,376.3341061301499
"(5, 2050)",241.7155,39.85384500000001
"(6, 2400)",22.071822255,137.796372255
"(2, 3550)",344.456145,84.80453355
"(5, 500)",119.76140660045559,75.27985117561454
"(2, 3700)",483.26063902718903,260.3121598439172
"(6, 3650)",0.0,0.0
"(5, 1150)",125.35,11.281500000000001
"(6, 2700)",111.6786447,390.1971447
"(2, 3200)",348.8,31.392000000000003
"(5, 1250)",144.82575125,52.028618737500004
"(6, 3450)",214.8246482489748,522.6908747489748
"(3, 3700)",0.0,0.0
"(2, 950)",135.629472262145,51.92435698952355
"(2, 850)",154.66348678738098,100.947470555924
"(3, 1100)",212.53811830048483,161.6119971252286
"(1, 3550)",476.79324056949997,159.538652663805
"(3, 900)",196.91528419001475,131.37995681214719
"(2, 1200)",174.446881231593,128.94191854579583
"(4, 650)",204.28672733361657,150.57425522455787
"(1, 2600)",290.5828955478463,142.48030644345567
"(1, 3650)",36.135,6.2086500000000004
"(6, 3850)",0.0,41.0
"(4, 500)",62.880300500000004,17.579547495
"(4, 2150)",215.0,0.0
"(5, 4600)",0.0,0.0
"(4, 2050)",221.2155,38.00884500000001
"(1, 2650)",353.401125913615,151.77438180447885
"(2, 1650)",236.052143974515,87.04280868476987
"(3, 850)",191.3243090979692,115.12748404398839
